"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","subclass","order","below_order","below_below_order","suborder","below_suborder","family","below_family","below_below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies","below_below_subspecies"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria","1","131567","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783270","2","below_superkingdom","FCB group","1","131567","2","1783270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783257","2","below_superkingdom","PVC group","1","131567","2","1783257","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783272","2","below_superkingdom","Terrabacteria group","1","131567","2","1783272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2323","2","below_superkingdom","unclassified Bacteria","1","131567","2","2323","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68336","1783270","below_below_superkingdom","Bacteroidetes/Chlorobi group","1","131567","2","1783270","68336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1798711","1783272","below_below_superkingdom","Cyanobacteria/Melainabacteria group","1","131567","2","1783272","1798711","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49928","2323","below_below_superkingdom","unclassified Bacteria (miscellaneous)","1","131567","2","2323","49928","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1798710","1798711","below_below_below_superkingdom","Candidatus Melainabacteria","1","131567","2","1783272","1798711","1798710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57723","2","phylum","Acidobacteria","1","131567","2","","","","57723","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201174","1783272","phylum","Actinobacteria","1","131567","2","1783272","","","201174","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200783","2","phylum","Aquificae","1","131567","2","","","","200783","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67819","1783272","phylum","Armatimonadetes","1","131567","2","1783272","","","67819","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"976","68336","phylum","Bacteroidetes","1","131567","2","1783270","68336","","976","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67814","2","phylum","Caldiserica","1","131567","2","","","","67814","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"204428","1783257","phylum","Chlamydiae","1","131567","2","1783257","","","204428","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1090","68336","phylum","Chlorobi","1","131567","2","1783270","68336","","1090","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200795","1783272","phylum","Chloroflexi","1","131567","2","1783272","","","200795","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200938","2","phylum","Chrysiogenetes","1","131567","2","","","","200938","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117","1798711","phylum","Cyanobacteria","1","131567","2","1783272","1798711","","1117","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200930","2","phylum","Deferribacteres","1","131567","2","","","","200930","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1297","1783272","phylum","Deinococcus-Thermus","1","131567","2","1783272","","","1297","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68297","2","phylum","Dictyoglomi","1","131567","2","","","","68297","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74152","2","phylum","Elusimicrobia","1","131567","2","","","","74152","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65842","1783270","phylum","Fibrobacteres","1","131567","2","1783270","","","65842","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1239","1783272","phylum","Firmicutes","1","131567","2","1783272","","","1239","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32066","2","phylum","Fusobacteria","1","131567","2","","","","32066","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142182","1783270","phylum","Gemmatimonadetes","1","131567","2","1783270","","","142182","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1134404","68336","phylum","Ignavibacteriae","1","131567","2","1783270","68336","","1134404","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"256845","1783257","phylum","Lentisphaerae","1","131567","2","1783257","","","256845","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40117","2","phylum","Nitrospirae","1","131567","2","","","","40117","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203682","1783257","phylum","Planctomycetes","1","131567","2","1783257","","","203682","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","2","","","","1224","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1853220","2","phylum","Rhodothermaeota","1","131567","2","","","","1853220","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203691","2","phylum","Spirochaetes","1","131567","2","","","","203691","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"508458","2","phylum","Synergistetes","1","131567","2","","","","508458","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"544448","1783272","phylum","Tenericutes","1","131567","2","1783272","","","544448","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200940","2","phylum","Thermodesulfobacteria","1","131567","2","","","","200940","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200918","2","phylum","Thermotogae","1","131567","2","","","","200918","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74201","1783257","phylum","Verrucomicrobia","1","131567","2","1783257","","","74201","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"458031","57723","below_phylum","unclassified Acidobacteria","1","131567","2","","","","57723","458031","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33974","1239","below_phylum","unclassified Firmicutes sensu stricto","1","131567","2","1783272","","","1239","33974","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1562571","458031","below_below_phylum","Acidobacteria subdivision 23","1","131567","2","","","","57723","458031","1562571","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68525","1224","subphylum","delta/epsilon subdivisions","1","131567","2","","","","1224","","","68525","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84992","201174","class","Acidimicrobiia","1","131567","2","1783272","","","201174","","","","84992","","","","","","","","","","","","","","","","","","","","","","","","",""
"1807140","1224","class","Acidithiobacillia","1","131567","2","","","","1224","","","","1807140","","","","","","","","","","","","","","","","","","","","","","","","",""
"204432","57723","class","Acidobacteriia","1","131567","2","","","","57723","","","","204432","","","","","","","","","","","","","","","","","","","","","","","","",""
"1760","201174","class","Actinobacteria","1","131567","2","1783272","","","201174","","","","1760","","","","","","","","","","","","","","","","","","","","","","","","",""
"28211","1224","class","Alphaproteobacteria","1","131567","2","","","","1224","","","","28211","","","","","","","","","","","","","","","","","","","","","","","","",""
"292625","200795","class","Anaerolineae","1","131567","2","1783272","","","200795","","","","292625","","","","","","","","","","","","","","","","","","","","","","","","",""
"187857","200783","class","Aquificae","1","131567","2","","","","200783","","","","187857","","","","","","","","","","","","","","","","","","","","","","","","",""
"1382928","200795","class","Ardenticatenia","1","131567","2","1783272","","","200795","","","","1382928","","","","","","","","","","","","","","","","","","","","","","","","",""
"1042312","67819","class","Armatimonadia","1","131567","2","1783272","","","67819","","","","1042312","","","","","","","","","","","","","","","","","","","","","","","","",""
"91061","1239","class","Bacilli","1","131567","2","1783272","","","1239","","","","91061","","","","","","","","","","","","","","","","","","","","","","","","",""
"200643","976","class","Bacteroidia","1","131567","2","1783270","68336","","976","","","","200643","","","","","","","","","","","","","","","","","","","","","","","","",""
"1853221","1853220","class","Balneolia","1","131567","2","","","","1853220","","","","1853221","","","","","","","","","","","","","","","","","","","","","","","","",""
"28216","1224","class","Betaproteobacteria","1","131567","2","","","","1224","","","","28216","","","","","","","","","","","","","","","","","","","","","","","","",""
"1562566","57723","class","Blastocatellia","1","131567","2","","","","57723","","","","1562566","","","","","","","","","","","","","","","","","","","","","","","","",""
"475962","200795","class","Caldilineae","1","131567","2","1783272","","","200795","","","","475962","","","","","","","","","","","","","","","","","","","","","","","","",""
"693071","67814","class","Caldisericia","1","131567","2","","","","67814","","","","693071","","","","","","","","","","","","","","","","","","","","","","","","",""
